application,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,4_1,4_2,4_3,4_4,5_1,5_2,5_3,5_4,6_1,6_2,6_3,6_4,7_1,7_2,7_3,7_4,8_1,8_2,8_3,8_4,Aggregate
ONOS fwd,68.4,72.6,50.7,81.7,9.51,45.8,57.3,64.6,70.2,43.4,10.1,57.2,498,94.4,263,96.2,62.7,6.73,67.6,6.71,68.6,27.2,71.4,9.07,91.1,86.1,277,86.9,83.2,86.6,155,85.7,2854.72
ONOS fwd,70.8,27.3,64,57.5,9.6,45.5,58,21.5,63.2,28.8,73.9,28.3,406,139,237,171,64.8,11.2,33.7,32.6,70.6,6.6,158,25.2,172,91.1,184,88.6,95.7,88.6,143,89.2,2856.3
ONOS fwd,116,62.1,27.4,12.8,6.85,49.2,48.3,29.7,97.3,44.8,64.2,36,278,180,340,156,11.1,6.35,181,5.57,76,5.63,49.7,23,190,72.5,161,73.6,178,75.4,82.4,121,2860.9
ONOS fwd,73.3,20.3,69.9,24.6,39.8,66,71.6,62.1,74.9,27,76,25.4,377,93.9,232,250,41.8,6.09,57.4,12.3,75.9,6.05,70.4,50.5,177,76.8,276,76.6,91.6,76.9,99.6,76.7,2855.44
ONOS fwd,98.9,39.2,73.2,36.8,57.6,27.7,62.4,38.8,77.2,24.5,73.9,43.6,362,163,288,138,8,6.46,73.8,6.47,68.6,37.5,68.5,28.6,177,90.3,213,89.8,103,89.9,98.9,89.7,2854.33
ONOS fwd,75.1,42.3,82.1,32.3,6.73,8.5,79.2,33.1,75.8,67.5,78.9,28.1,377,127,340,108,86.4,11.3,81,6.68,67.2,6.45,70.3,12.6,159,138,101,86.1,105,159,120,85.2,2856.86
ONOS fwd,77.5,73.5,61.5,23.8,10.4,36,53.7,50.2,71.9,39.5,69.6,63.6,269,117,450,118,47.4,7.06,76.7,6.69,75.2,6.67,72.1,29.9,255,86.2,83.5,86.2,148,87.9,86.5,120,2860.22
ONOS fwd,78.4,72.5,70.6,37.9,34.1,30.2,53,9.74,78.2,65.8,64.9,68.4,395,107,333,117,12.4,7.65,53.3,6.33,78.4,7.28,69,52.7,105,80.1,84,131,170,78.1,224,78.8,2853.8
ONOS fwd,75,62.7,75.7,39.1,76.7,12.5,14.2,51.4,70.5,10.9,75.6,70.1,414,106,246,186,7.41,6.36,116,14.6,75.3,6.36,75.8,15.7,137,86.8,137,86.2,97.7,86.3,211,110,2855.93
ONOS fwd,74.4,53.8,63.3,54.1,7.54,25.8,54.1,29.3,72.4,21.3,73.2,21.6,402,102,285,165,6.61,6.88,52.5,6.26,62.9,6.27,148,114,195,83.6,144,96.1,132,84.2,134,83.8,2860.96
ONOS fwd,82.5,66.1,40.2,71.4,80.4,37.8,66.9,24.4,73.5,10.4,34.8,51.4,381,106,361,107,19.1,8.94,71.1,6.63,80.7,6.67,87.3,34.3,116,99,191,125,121,99.5,104,99.7,2864.74
ONOS fwd,53.5,72.6,77,74.3,9.97,42.4,75.2,54.2,59.4,56.7,62.9,35.3,475,126,232,120,6.63,6.64,74.9,11.2,67.9,6.62,67.5,37,200,76.9,275,77.7,80.6,77.2,88.4,76.7,2857.36
ONOS fwd,19.5,40.9,76.9,44,10.1,55.4,31.1,27.2,69.7,37,65.1,18.2,352,235,232,134,6.32,13.6,60.2,5.82,279,5.92,58.7,26.8,81.3,72.9,102,72.1,134,89,326,73.8,2855.56
ONOS fwd,80.2,72.1,63,25.6,7.23,6.54,74,66.9,74.8,53.8,144,39.2,459,168,217,109,7.38,14.2,66.8,6.93,57.5,6.42,67.7,19.3,172,77,230,76.8,95.4,135,90.9,75.6,2859.3
ONOS fwd,65.8,36.5,71.6,26.7,50.3,15.7,37.6,9.75,27.9,157,142,52.4,404,99.3,300,149,6.44,6.22,70.3,6.2,65.1,6.19,65,34.5,238,78,173,82.6,94.8,84.6,92.9,108,2857.4
ONOS fwd,77.9,23.6,53.3,28.4,51.6,35.4,48.5,74.2,44.9,50.4,54.8,34.4,213,189,430,120,72.2,48.6,68.8,6.77,77.1,6.68,70,25.1,200,98.6,89.4,23.1,217,92.9,138,93.1,2856.75
ONOS fwd,62.1,63.3,71.4,57.9,14,66.3,74.5,24.4,68.6,23.2,74.3,26.1,365,227,267,93.6,6.46,20.5,65.5,6.09,63.9,6.06,149,7.96,142,82.8,144,82.2,230,82.2,107,82.1,2856.47
ONOS fwd,69.7,54,69.7,33.4,58.5,62.9,64.4,8.74,57.3,51.5,46.5,12.5,299,151,270,233,51.4,5.76,67,10.1,68.8,5.75,145,9.72,189,78,161,78.7,160,78.6,129,78.4,2858.37
ONOS fwd,67.8,9.18,68.3,51.8,47,46,61.8,11.7,50.9,47.6,53.2,39.9,348,98.4,339,167,63.4,6.42,122,50.5,68.3,5.95,67.9,14.2,125,84.2,88.8,86.2,182,144,153,88.8,2858.25
ONOS fwd,76,67.6,72.9,26.9,11.8,25,96.9,38.2,69.3,45.1,71.3,10.6,307,221,297,127,44.7,6.01,71.4,6.06,101,5.97,70.9,33.8,158,84.3,175,83.5,184,86,96.6,84.6,2855.44
ONOS fwd,102,22.2,76.4,40.5,10,45.2,82.2,66.8,51.4,49.5,68.8,30.9,362,112,285,195,30.6,15.3,77.5,6.43,75.3,7.49,82.5,11.5,225,94.6,102,81.4,97.8,92.6,178,80.9,2858.82
ONOS fwd,70.5,55.7,65.6,13.4,28.3,8.02,57.1,13.7,94.8,19.2,69.7,8.4,393,108,264,186,45.3,5.68,68.8,18.6,68.5,5.87,68.3,166,149,71.4,236,69.5,103,137,122,64.9,2855.27
ONOS fwd,73.4,38.2,76.6,51.5,59.8,52,7.79,42.5,105,35.8,87,40.9,461,95.4,253,145,6.48,6.62,88.8,6.61,58.8,6.6,89.1,19.6,95.1,96.6,125,122,95.2,96.9,226,96.7,2861
ONOS fwd,79.2,69.4,68.9,61.1,117,34,6.67,13.4,72.5,17.1,70.4,7.29,304,178,344,126,71.7,14.8,69,8.1,78.3,6.19,52,35.1,97.3,80.8,89.2,61.6,133,80.4,252,159,2857.45
ONOS fwd,107,34.4,72.3,32.1,81.1,8.04,46.5,49.5,81.4,14.6,53.5,58.9,323,95.4,257,276,9.91,5.73,75.1,46.3,73.8,5.71,73.5,21.4,171,74.2,233,74.8,104,77.3,141,76.3,2853.79
ONOS fwd,73.2,26.8,75.1,47.5,8.21,71.3,69.1,62.9,33,66,73.9,31.8,351,97.1,286,219,7.98,6.84,73.9,6.37,78.1,6.35,126,8.08,304,77.2,157,67.7,97.4,78.8,93,78.8,2859.43
ONOS fwd,81.6,21.2,80.1,29.1,78.5,31.6,51.3,17.3,75.7,39,69.8,25.5,327,231,272,121,61.3,6.26,79.7,6.26,76.1,6.25,89,26.1,158,80.3,97.2,77.4,94.2,114,213,118,2854.77
ONOS ifwd,55.4,4.56,135,20.6,203,27.2,5.11,24,58.7,35.4,69.2,44,352,181,233,191,10.5,48.6,71.1,45.6,21.8,7.61,21.4,50.1,93.2,69.7,141,69.9,163,68.5,279,69.9,2870.08
